open_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,trades,taker_base_volume,taker_quote_volume,ignore
1767515340000,91249.99,91249.99000000,91206.00000000,91234.36,16.75201,1767515399999,1528327.96113030,1889,3.48487000,317878.75653530,0
1767515400000,91234.35,91243.40000000,91234.35000000,91243.4,1.56527,1767515459999,142813.92912450,456,1.16448000,106245.14633680,0
1767515460000,91243.4,91298.83000000,91243.39000000,91298.83,5.44335,1767515519999,496812.80280520,2350,2.96732000,270785.07224500,0
1767515520000,91298.83,91298.83000000,91289.51000000,91289.51,2.39456,1767515579999,218602.72200510,506,0.84559000,77193.52279180,0
1767515580000,91289.52,91299.59000000,91289.51000000,91299.59,1.42471,1767515639999,130062.76544310,686,1.06972000,97655.70179470,0
1767515640000,91299.59,91299.59000000,91299.58000000,91299.59,0.56051,1767515699999,51174.33152780,115,0.39420000,35990.29837800,0
1767515700000,91299.59,91325.61000000,91299.58000000,91325.61,2.33474,1767515759999,213169.38617010,834,2.24307000,204799.30678930,0
1767515760000,91325.6,91335.20000000,91325.60000000,91335.19,9.87524,1767515819999,901907.37515620,650,8.88477000,811443.30341790,0
1767515820000,91335.2,91335.20000000,91316.00000000,91335.2,3.32687,1767515879999,303830.27153850,1644,1.06330000,97099.59633880,0
1767515880000,91335.19,91339.76000000,91335.19000000,91339.75,0.36034,1767515939999,32912.99259630,497,0.26038000,23782.68162870,0
1767515940000,91339.76,91339.76000000,91290.05000000,91290.4,4.38869,1767515999999,400772.27937440,2242,0.58176000,53126.73192610,0
1767516000000,91290.39,91290.40000000,91280.00000000,91290.39,5.36229,1767516059999,489512.85268640,857,3.06133000,279458.15595070,0
1767516060000,91290.39,91397.36000000,91290.39000000,91383.39,27.83738,1767516119999,2543404.72099870,3772,21.25724000,1942028.34196740,0
1767516120000,91383.39,91383.40000000,91350.01000000,91350.02,9.22914,1767516179999,843319.98141720,1721,1.81715000,166044.35765940,0
1767516180000,91350.01,91376.86000000,91350.01000000,91376.85,6.08725,1767516239999,556113.75341650,893,4.61335000,421439.74567910,0
1767516240000,91376.85,91400.00000000,91376.85000000,91400.0,3.41644,1767516299999,312216.40161230,1817,3.21311000,293635.33112270,0
1767516300000,91400.0,91412.00000000,91399.99000000,91399.99,2.57789,1767516359999,235636.08041060,1391,1.01020000,92337.58914860,0
1767516360000,91399.99,91399.99000000,91381.72000000,91390.56,3.26334,1767516419999,298225.31704960,1096,1.82712000,166972.63453130,0
1767516420000,91390.55,91430.00000000,91390.55000000,91414.99,5.24541,1767516479999,479492.67900940,1875,4.45056000,406825.19243970,0
1767516480000,91415.0,91430.00000000,91400.00000000,91409.0,9.71963,1767516539999,888473.81747980,1892,6.63164000,606190.14357550,0
1767516540000,91409.0,91436.42000000,91408.99000000,91436.41,10.16831,1767516599999,929682.10157070,882,7.33904000,671027.59577130,0
1767516600000,91436.42,91436.42000000,91412.11000000,91412.11,26.87948,1767516659999,2457397.43855500,1449,19.88143000,1817587.91543900,0
1767516660000,91412.12,91412.12000000,91352.49000000,91354.13,8.37221,1767516719999,765170.08073910,1770,2.60851000,238406.99137340,0
1767516720000,91354.13,91370.56000000,91354.13000000,91354.6,3.02292,1767516779999,276164.53716010,1422,1.38047000,126113.45437980,0
1767516780000,91354.6,91354.61000000,91334.00000000,91334.01,4.86019,1767516839999,443956.84066230,1357,1.34016000,122403.87413560,0
1767516840000,91334.01,91334.01000000,91312.38000000,91312.39,5.15791,1767516899999,471049.26998920,1123,2.83157000,258594.83449830,0
1767516900000,91312.38,91353.95000000,91306.66000000,91353.94,10.93897,1767516959999,998868.90369670,2498,3.82989000,349745.35994650,0
1767516960000,91353.94,91379.49000000,91353.94000000,91365.24,2.90469,1767517019999,265388.99727200,1724,2.23236000,203957.62300970,0
1767517020000,91365.23,91365.24000000,91358.00000000,91358.01,3.23041,1767517079999,295129.19708580,658,2.48040000,226608.42696330,0
1767517080000,91358.01,91366.02000000,91358.00000000,91366.01,9.94994,1767517139999,909036.81417410,964,8.59942000,785652.10953210,0
1767517140000,91366.02,91391.68000000,91366.01000000,91374.99,18.72114,1767517199999,1710762.07304010,2827,17.85357000,1631480.92588590,0
1767517200000,91374.99,91418.45000000,91374.98000000,91416.04,48.58392,1767517259999,4440675.19374320,4899,44.47643000,4065217.35910420,0
1767517260000,91416.04,91432.44000000,91379.18000000,91379.19,22.80775,1767517319999,2085091.56389460,3887,19.38504000,1772234.10582820,0
1767517320000,91379.19,91379.19000000,91340.00000000,91340.01,12.98197,1767517379999,1186122.32010890,1306,1.72138000,157263.20323300,0
1767517380000,91340.0,91340.01000000,91336.00000000,91336.0,0.88473,1767517439999,80808.95520530,326,0.51606000,47135.21004060,0
1767517440000,91336.01,91336.01000000,91336.00000000,91336.0,5.27984,1767517499999,482239.46711110,171,0.08711000,7956.27983110,0
1767517500000,91336.01,91336.01000000,91336.00000000,91336.0,10.78825,1767517559999,985355.63119770,331,2.91977000,266680.14191770,0
1767517560000,91336.0,91336.01000000,91270.15000000,91270.15,43.40568,1767517619999,3962547.73095580,2862,0.46359000,42324.00222190,0
1767517620000,91270.15,91271.19000000,91244.29000000,91255.7,61.28843,1767517679999,5592931.88828460,4580,6.84797000,624864.88110250,0
1767517680000,91255.69,91297.43000000,91255.69000000,91297.43,10.09694,1767517739999,921591.65573210,1662,7.35936000,671753.73735480,0
